Country/Region,3/31/20
Afghanistan,174
Albania,243
Algeria,716
Andorra,376
Angola,7
Antigua and Barbuda,7
Argentina,1054
Armenia,532
Austria,10180
Azerbaijan,298
Bahamas,14
Bahrain,567
Bangladesh,51
Barbados,34
Belarus,152
Belgium,12775
Benin,9
Bhutan,4
Bolivia,107
Bosnia and Herzegovina,420
Brazil,5717
Brunei,129
Bulgaria,399
Burkina Faso,261
Cabo Verde,6
Cambodia,109
Cameroon,193
Canada,4162
Central African Republic,3
Chad,7
Chile,2738
China,83451
Colombia,906
Congo (Brazzaville),19
Congo (Kinshasa),98
Costa Rica,347
Cote d'Ivoire,179
Croatia,867
Diamond Princess,712
Cuba,186
Cyprus,262
Czechia,3308
Denmark,2860
Djibouti,30
Dominican Republic,1109
Ecuador,2240
Egypt,710
El Salvador,32
Equatorial Guinea,12
Eritrea,15
Estonia,745
Eswatini,9
Ethiopia,26
Fiji,5
Finland,1418
France,52128
Gabon,16
Gambia,4
Georgia,110
Germany,71808
Ghana,161
Greece,1314
Guatemala,38
Guinea,22
Guyana,12
Haiti,15
Holy See,6
Honduras,141
Hungary,492
Iceland,1135
India,1397
Indonesia,1528
Iran,44605
Iraq,694
Ireland,3235
Israel,5358
Italy,105792
Jamaica,36
Japan,1953
Jordan,274
Kazakhstan,343
Kenya,59
"Korea, South",9786
Kuwait,289
Kyrgyzstan,107
Latvia,398
Lebanon,470
Liberia,3
Liechtenstein,68
Lithuania,537
Luxembourg,2178
Madagascar,57
Malaysia,2766
Maldives,18
Malta,169
Mauritania,6
Mauritius,143
Mexico,1094
Moldova,353
Monaco,52
Mongolia,12
Montenegro,109
Morocco,617
Namibia,11
Nepal,5
Netherlands,12595
New Zealand,647
Nicaragua,5
Niger,27
Nigeria,135
North Macedonia,329
Norway,4641
Oman,192
Pakistan,1938
Panama,1181
Papua New Guinea,1
Paraguay,65
Peru,1065
Philippines,2084
Poland,2311
Portugal,7443
Qatar,781
Romania,2245
Russia,2337
Rwanda,75
Saint Lucia,13
Saint Vincent and the Grenadines,1
San Marino,236
Saudi Arabia,1563
Senegal,175
Serbia,900
Seychelles,10
Singapore,926
Slovakia,363
Slovenia,802
Somalia,5
South Africa,1353
Spain,95923
Sri Lanka,143
Sudan,7
Suriname,9
Sweden,4435
Switzerland,16605
Taiwan*,322
Tanzania,19
Thailand,1651
Togo,34
Trinidad and Tobago,87
Tunisia,394
Turkey,13531
Uganda,44
Ukraine,645
United Arab Emirates,664
United Kingdom,25150
Uruguay,338
US,188172
Uzbekistan,172
Venezuela,135
Vietnam,212
Zambia,35
Zimbabwe,8
Canada,0
Dominica,12
Grenada,9
Mozambique,8
Syria,10
Timor-Leste,1
Belize,3
Canada,0
Laos,9
Libya,10
West Bank and Gaza,119
Guinea-Bissau,8
Mali,28
Saint Kitts and Nevis,8
Canada,1
Canada,5
Kosovo,112
Burma,15
United Kingdom,10
MS Zaandam,2
Botswana,4
Burundi,2
Sierra Leone,1
Netherlands,0
Malawi,0
